Date,Facebook,Apple,Amazon,Netflix,Google
2020-04-01,164,249,1945,380,1130
2020-04-02,161,245,1928,371,1127
2020-04-03,158,246,1926,371,1124
2020-04-06,166,263,1999,380,1195
2020-04-07,173,272,2036,381,1225
2020-04-08,175,267,2044,378,1219
2020-04-09,177,270,2053,372,1226
2020-04-13,175,274,2180,401,1221
2020-04-14,181,288,2292,418,1282
2020-04-15,178,286,2333,435,1280
2020-04-16,178,288,2461,450,1279
2020-04-17,180,287,2400,432,1294
2020-04-20,180,282,2445,444,1282
2020-04-21,175,277,2428,447,1254
2020-04-22,185,278,2394,433,1286
2020-04-23,187,282,2424,438,1293
2020-04-24,190,283,2420,427,1280
2020-04-27,194,285,2445,429,1296
2020-04-28,189,286,2374,421,1288
2020-04-29,197,290,2392,416,1360
