State,DenverMint,PhillyMint
Delaware,401424,373400
Pennsylvania,358332,349000
New Jersey,299028,363200
Georgia,488744,451188
Connecticut,657880,688744
Massachusetts,535184,628600
Maryland,556532,678200
South Carolina,566208,742576
New Hampshire,495976,673040
Virginia,651616,943000
New York,619640,655400
North Carolina,427876,627600
Rhode Island,447100,423000
Vermont,459404,423400
Kentucky,370564,353000
Tennessee,286468,361600
Ohio,414832,217200
Louisiana,402204,362000
Indiana,327200,362600
Mississippi,289600,290000
Illinois,237400,225800
Alabama,232400,225000
Maine,231400,217400
Missouri,228200,225000
Arkansas,229800,228000
Michigan,225800,233800
Florida,241600,240200
Texas,263000,278800
Iowa,251400,213800
Wisconsin,226800,226400
California,263200,257200
Minnesota,248400,239600
Oregon,404000,316200
Kansas,300000,263400
West Virginia,356200,365400
Nevada,312800,277000
Nebraska,276400,318000
Colorado,294200,274800
North Dakota,359000,305800
South Dakota,265800,245000
Montana,256240,257000
Washington,280000,265200
Idaho,286800,294600
Wyoming,320800,243600
Utah,253200,255000
Oklahoma,194600,222000
New Mexico,244400,244200
Arizona,265000,244600
Alaska,254000,251800
Hawaii,263600,254000
